,ga:pagePath,ga:source,ga:date,ga:pageviews,ga:sessions,ga:users,ga:newUsers,ga:sessionsPerUser,ga:bounces,ga:bounceRate,ga:pageLoadTime
44,/,pinterest.com,20201115,13,10,10,9,1.0,5,50.0,0
45,/,pinterest.com,20201116,10,10,8,7,1.25,10,100.0,0
46,/,pinterest.com,20201117,9,6,6,4,1.0,2,33.33333333333333,0
47,/,pinterest.com,20201118,7,4,4,4,1.0,1,25.0,0
48,/,pinterest.com,20201119,9,8,8,7,1.0,5,62.5,0
49,/,pinterest.com,20201120,13,8,9,7,0.8888888888888888,6,75.0,0
50,/,pinterest.com.mx,20201117,3,2,2,1,1.0,0,0.0,0
51,/,pinterest.com.mx,20201119,3,3,3,2,1.0,3,100.0,0
52,/,pinterest.es,20201116,2,1,1,0,1.0,0,0.0,0
53,/,pinterest.es,20201119,1,1,1,1,1.0,1,100.0,0
54,/,pinterest.it,20201113,1,1,1,1,1.0,0,0.0,0
55,/,search.becovi.com,20201115,2,1,1,1,1.0,0,0.0,0
56,/,youtube.com,20201114,1,1,1,1,1.0,0,0.0,0
57,/,youtube.com,20201120,3,2,1,1,2.0,1,50.0,0
58,/,za.pinterest.com,20201119,1,1,1,1,1.0,1,100.0,0
59,/?fbclid=IwAR0_ZecschWJ9HaPji_2G4HWeZL03VXJITBqm-C5TOlRe3r617qzkaSUGRY,m.facebook.com,20201119,1,1,1,1,1.0,1,100.0,0
60,/?fbclid=IwAR0LUDEoC_OWW87YprGEJMSbbUzFL6ts67XyDBHsR-MUuNZvWjBM0H5u5os,l.facebook.com,20201119,1,1,1,1,1.0,1,100.0,0
61,/?fbclid=IwAR1MnA8wXZOzcA0-d5AqLukkM18luPh5NeqBEriJPGiaYJvGKcQX44U4ZWM,l.facebook.com,20201117,1,0,1,0,0.0,0,0.0,0
62,/?fbclid=IwAR2-21gCnml9DM4TVpEYLDEopY9pviOLqx9Ondql9XY3lFXtDO3Rz1kLVRQ,m.facebook.com,20201115,1,1,1,1,1.0,0,0.0,0
63,/?fbclid=IwAR20U9kKeZ6piBOKlQWZ64CoRqZoLEq9oUkPTgyaJiiXfOxEnRmTi-ssBJk,facebook.com,20201115,1,1,1,1,1.0,1,100.0,0
64,/?fbclid=IwAR3f7hxbYLxzoLfgR2RKagbSEYxWkgFCZtBq2c1cJC4Mus_BeWVgC9Frlpc,l.facebook.com,20201117,1,1,1,0,1.0,0,0.0,0
65,/articulos/,(direct),20201114,2,1,1,0,1.0,0,0.0,0
66,/articulos/,(direct),20201118,4,2,3,2,0.6666666666666666,2,100.0,0
67,/articulos/,(direct),20201119,3,3,2,1,1.5,2,66.66666666666666,0
68,/articulos/,bing,20201114,2,1,1,1,1.0,0,0.0,0
69,/articulos/,google,20201112,9,0,4,0,0.0,0,0.0,0
70,/articulos/,google,20201113,3,1,3,1,0.3333333333333333,1,100.0,0
71,/articulos/,google,20201114,2,2,2,2,1.0,0,0.0,0
72,/articulos/,google,20201115,1,0,1,0,0.0,0,0.0,0
73,/articulos/,google,20201116,7,0,2,0,0.0,0,0.0,0
74,/articulos/,google,20201118,5,2,4,1,0.5,0,0.0,0
75,/articulos/,google,20201119,2,1,1,0,1.0,0,0.0,0
76,/articulos/,google,20201120,1,0,1,0,0.0,0,0.0,0
77,/articulos/,google.com,20201119,1,1,1,0,1.0,0,0.0,0
78,/articulos/,homify.com.mx,20201114,2,0,1,0,0.0,0,0.0,0
79,/articulos/,pinterest.com.mx,20201117,1,0,1,0,0.0,0,0.0,0
80,/articulos/ahumadores-de-flujo-inverso,(direct),20201120,1,0,1,0,0.0,0,0.0,0
81,/articulos/ahumadores-de-flujo-inverso,bing,20201114,1,0,1,0,0.0,0,0.0,0
82,/articulos/ahumadores-de-flujo-inverso,google,20201112,5,3,5,1,0.6,3,100.0,0
83,/articulos/ahumadores-de-flujo-inverso,google,20201113,5,2,5,2,0.4,2,100.0,2894
84,/articulos/ahumadores-de-flujo-inverso,google,20201114,3,3,3,2,1.0,3,100.0,0
85,/articulos/ahumadores-de-flujo-inverso,google,20201115,10,7,8,5,0.875,4,57.14285714285714,0
86,/articulos/ahumadores-de-flujo-inverso,google,20201116,6,3,5,1,0.6,3,100.0,0
87,/articulos/ahumadores-de-flujo-inverso,google,20201117,7,6,6,5,1.0,5,83.33333333333334,0
88,/articulos/ahumadores-de-flujo-inverso,google,20201118,8,5,8,5,0.625,5,100.0,0
89,/articulos/ahumadores-de-flujo-inverso,google,20201119,7,3,4,2,0.75,1,33.33333333333333,0
90,/articulos/ahumadores-de-flujo-inverso,google,20201120,5,3,5,3,0.6,3,100.0,0
91,/articulos/ahumadores-de-flujo-inverso,instagram.com,20201119,1,0,1,0,0.0,0,0.0,0
92,/articulos/ahumadores-de-flujo-inverso,l.wl.co,20201115,1,1,1,0,1.0,0,0.0,0
93,/articulos/ahumadores-de-flujo-inverso?fbclid=IwAR3YbKVHiKDCEGVHxA7sr4SPewV0_QRF-dKlcAc4ls0odlSfDPLtCgFYz8E,m.facebook.com,20201119,1,1,1,1,1.0,1,100.0,0
94,/articulos/ahumadores-horizontales,(direct),20201119,2,1,2,1,0.5,1,100.0,0
95,/articulos/ahumadores-horizontales,bing,20201118,1,1,1,1,1.0,1,100.0,0
96,/articulos/ahumadores-horizontales,google,20201112,4,3,3,2,1.0,2,66.66666666666666,0
97,/articulos/ahumadores-horizontales,google,20201113,14,11,11,9,1.0,7,63.63636363636363,0
98,/articulos/ahumadores-horizontales,google,20201114,2,1,2,1,0.5,1,100.0,0
99,/articulos/ahumadores-horizontales,google,20201115,3,2,2,2,1.0,1,50.0,0
100,/articulos/ahumadores-horizontales,google,20201116,3,2,2,2,1.0,0,0.0,0
101,/articulos/ahumadores-horizontales,google,20201117,8,6,6,6,1.0,2,33.33333333333333,0
102,/articulos/ahumadores-horizontales,google,20201118,4,3,4,2,0.75,2,66.66666666666666,0
103,/articulos/ahumadores-horizontales,google,20201119,2,2,2,1,1.0,2,100.0,0
104,/articulos/ahumadores-horizontales,google,20201120,10,7,6,4,1.1666666666666667,4,57.14285714285714,0
105,/articulos/ahumadores-horizontales,google.com,20201119,1,0,1,0,0.0,0,0.0,0
106,/articulos/ahumar-tu-primer-brisket,(direct),20201112,3,2,1,0,2.0,1,50.0,0
107,/articulos/ahumar-tu-primer-brisket,(direct),20201115,1,1,1,1,1.0,1,100.0,0
108,/articulos/ahumar-tu-primer-brisket,(direct),20201117,3,3,2,2,1.5,3,100.0,0
109,/articulos/ahumar-tu-primer-brisket,(direct),20201118,1,1,1,0,1.0,1,100.0,0
110,/articulos/ahumar-tu-primer-brisket,(direct),20201119,2,1,1,1,1.0,0,0.0,0
111,/articulos/ahumar-tu-primer-brisket,google,20201112,13,12,11,7,1.0909090909090908,9,75.0,0
112,/articulos/ahumar-tu-primer-brisket,google,20201113,25,21,21,13,1.0,19,90.47619047619048,0
113,/articulos/ahumar-tu-primer-brisket,google,20201114,45,38,37,26,1.027027027027027,35,92.10526315789474,0
114,/articulos/ahumar-tu-primer-brisket,google,20201115,49,46,39,28,1.1794871794871795,43,93.47826086956522,0
115,/articulos/ahumar-tu-primer-brisket,google,20201116,17,16,14,9,1.1428571428571428,14,87.5,0
116,/articulos/ahumar-tu-primer-brisket,google,20201117,16,14,14,10,1.0,12,85.71428571428571,0
117,/articulos/ahumar-tu-primer-brisket,google,20201118,20,14,14,10,1.0,11,78.57142857142857,0
118,/articulos/ahumar-tu-primer-brisket,google,20201119,24,21,18,15,1.1666666666666667,18,85.71428571428571,0
119,/articulos/ahumar-tu-primer-brisket,google,20201120,15,14,13,11,1.0769230769230769,12,85.71428571428571,0
120,/articulos/anatomia-del-barbecue-101,(direct),20201115,1,0,1,0,0.0,0,0.0,0
121,/articulos/anatomia-del-barbecue-101,(direct),20201119,1,0,1,0,0.0,0,0.0,0
122,/articulos/anatomia-del-barbecue-101,google,20201112,8,8,8,6,1.0,7,87.5,0
123,/articulos/anatomia-del-barbecue-101,google,20201113,5,5,4,4,1.25,5,100.0,0
124,/articulos/anatomia-del-barbecue-101,google,20201114,6,5,5,3,1.0,5,100.0,0
125,/articulos/anatomia-del-barbecue-101,google,20201115,8,8,8,6,1.0,8,100.0,0
126,/articulos/anatomia-del-barbecue-101,google,20201116,10,7,8,5,0.875,7,100.0,0
127,/articulos/anatomia-del-barbecue-101,google,20201117,7,6,7,6,0.8571428571428571,6,100.0,0
128,/articulos/anatomia-del-barbecue-101,google,20201118,7,2,4,2,0.5,1,50.0,0
129,/articulos/anatomia-del-barbecue-101,google,20201119,2,2,2,1,1.0,1,50.0,0
130,/articulos/anatomia-del-barbecue-101,google,20201120,4,3,4,2,0.75,3,100.0,0
131,/articulos/brisket-en-argentina,(direct),20201112,2,2,2,2,1.0,2,100.0,0
132,/articulos/brisket-en-argentina,(direct),20201115,1,1,1,1,1.0,1,100.0,0
133,/articulos/brisket-en-argentina,(direct),20201117,1,1,1,1,1.0,1,100.0,0
134,/articulos/brisket-en-argentina,google,20201112,18,17,15,12,1.1333333333333333,14,82.35294117647058,5553
135,/articulos/brisket-en-argentina,google,20201113,14,10,9,7,1.1111111111111112,8,80.0,0
136,/articulos/brisket-en-argentina,google,20201114,15,14,13,12,1.0769230769230769,12,85.71428571428571,0
137,/articulos/brisket-en-argentina,google,20201115,13,11,11,10,1.0,10,90.9090909090909,0
138,/articulos/brisket-en-argentina,google,20201116,21,14,13,13,1.0769230769230769,9,64.28571428571429,0
139,/articulos/brisket-en-argentina,google,20201117,21,18,19,17,0.9473684210526315,17,94.44444444444444,0
140,/articulos/brisket-en-argentina,google,20201118,21,20,18,15,1.1111111111111112,17,85.0,0
141,/articulos/brisket-en-argentina,google,20201119,16,15,15,13,1.0,13,86.66666666666667,0
142,/articulos/brisket-en-argentina,google,20201120,10,10,10,10,1.0,9,90.0,0
143,/articulos/brisket-en-argentina,yahoo,20201113,1,1,1,1,1.0,1,100.0,0
144,/articulos/brisket-en-argentina?sa=X&ved=2ahUKEwjFvfiutYPtAhVKGbkGHbVlDFgQ9QF6BAgFEAI,google,20201114,1,1,1,1,1.0,1,100.0,0
145,/articulos/brisket-temperaturas-altas,google,20201114,1,1,1,0,1.0,1,100.0,0
146,/articulos/brisket-temperaturas-altas,google,20201115,2,2,2,2,1.0,2,100.0,0
147,/articulos/brisket-temperaturas-altas,google,20201116,1,1,1,0,1.0,1,100.0,0
148,/articulos/brisket-temperaturas-altas,google,20201117,1,1,1,0,1.0,1,100.0,0
149,/articulos/brisket-temperaturas-altas,google,20201120,1,0,1,0,0.0,0,0.0,0
150,/articulos/como-ahumar-fiambres-en-tu-smoke-kit-bbq,google,20201112,2,2,2,2,1.0,1,50.0,0
151,/articulos/como-ahumar-fiambres-en-tu-smoke-kit-bbq,google,20201113,3,3,3,2,1.0,2,66.66666666666666,0
152,/articulos/como-ahumar-fiambres-en-tu-smoke-kit-bbq,google,20201117,1,1,1,1,1.0,1,100.0,0
153,/articulos/como-ahumar-fiambres-en-tu-smoke-kit-bbq,google,20201118,1,1,1,0,1.0,1,100.0,0
154,/articulos/como-recalentar-un-brisket-sin-se-seque,bing,20201113,1,1,1,1,1.0,0,0.0,0
155,/articulos/como-recalentar-un-brisket-sin-se-seque,google,20201113,4,3,3,1,1.0,3,100.0,0
156,/articulos/como-recalentar-un-brisket-sin-se-seque,google,20201114,1,0,1,0,0.0,0,0.0,0
157,/articulos/como-recalentar-un-brisket-sin-se-seque,google,20201115,1,1,1,1,1.0,1,100.0,0
158,/articulos/como-recalentar-un-brisket-sin-se-seque,google,20201116,1,1,1,0,1.0,1,100.0,0
159,/articulos/como-recalentar-un-brisket-sin-se-seque,google,20201118,5,3,3,0,1.0,3,100.0,0
160,/articulos/como-recalentar-un-brisket-sin-se-seque,google,20201119,6,5,2,1,2.5,4,80.0,0
161,/articulos/como-recalentar-un-brisket-sin-se-seque,google,20201120,4,3,2,1,1.5,2,66.66666666666666,0
162,/articulos/como-recalentar-un-brisket-sin-se-seque,m.facebook.com,20201119,2,1,1,1,1.0,0,0.0,0
163,/articulos/como-recalentar-un-brisket-sin-se-seque?fbclid=IwAR08qbXf1uA76NFEwIlaVa_BdB7rTvzkDQ9pXtld91nQgdLkfFZvigjvn-E,m.facebook.com,20201116,1,1,1,1,1.0,1,100.0,0
164,/articulos/como-recalentar-un-brisket-sin-se-seque?fbclid=IwAR1cKFJ5nqzkJ1KPsDcziJ8UGIDbi1MSVYL_P9oP2LMMuNTNeV971_iddiM,m.facebook.com,20201117,1,1,1,1,1.0,1,100.0,0
165,/articulos/como-recalentar-un-brisket-sin-se-seque?fbclid=IwAR3bX-ZPHehTQifWcSvIwQTRZ_B6X4UnQQn-z3XqU11f4rm3xN8fxva6ptc,m.facebook.com,20201113,1,1,1,1,1.0,1,100.0,0
166,/articulos/como-salar-un-pavo-en-seco,(direct),20201116,1,1,1,1,1.0,1,100.0,0
167,/articulos/como-salar-un-pavo-en-seco,google,20201112,1,1,1,1,1.0,1,100.0,0
168,/articulos/como-salar-un-pavo-en-seco,google,20201116,1,1,1,0,1.0,1,100.0,0
169,/articulos/como-salar-un-pavo-en-seco,google,20201119,1,1,1,1,1.0,1,100.0,0
170,/articulos/como-superar-el-estancado,(direct),20201118,1,1,1,0,1.0,1,100.0,0
171,/articulos/como-superar-el-estancado,google,20201112,3,3,3,2,1.0,3,100.0,0
172,/articulos/como-superar-el-estancado,google,20201113,4,2,4,1,0.5,2,100.0,0
173,/articulos/como-superar-el-estancado,google,20201114,3,3,2,1,1.5,3,100.0,0
174,/articulos/como-superar-el-estancado,google,20201115,6,5,4,1,1.25,5,100.0,0
175,/articulos/como-superar-el-estancado,google,20201116,2,2,2,0,1.0,2,100.0,0
176,/articulos/como-superar-el-estancado,google,20201118,2,1,2,1,0.5,1,100.0,0
177,/articulos/como-superar-el-estancado,google,20201119,1,0,1,0,0.0,0,0.0,0
178,/articulos/como-superar-el-estancado,google,20201120,2,2,2,2,1.0,2,100.0,0
179,/articulos/comprar-un-ahumador,google,20201112,1,1,1,0,1.0,1,100.0,0
180,/articulos/comprar-un-ahumador,google,20201115,3,1,2,1,0.5,1,100.0,0
181,/articulos/comprar-un-ahumador,google,20201116,5,2,3,2,0.6666666666666666,0,0.0,0
182,/articulos/comprar-un-ahumador,google,20201117,2,2,2,2,1.0,1,50.0,0
183,/articulos/comprar-un-ahumador,google,20201118,2,0,2,0,0.0,0,0.0,0
184,/articulos/comprar-un-ahumador,google,20201119,1,0,1,0,0.0,0,0.0,0
185,/articulos/construir-tu-propio-ahumador-casero,(direct),20201113,3,3,2,2,1.5,3,100.0,0
186,/articulos/construir-tu-propio-ahumador-casero,(direct),20201114,4,2,1,1,2.0,1,50.0,0
187,/articulos/construir-tu-propio-ahumador-casero,(direct),20201115,1,1,1,0,1.0,1,100.0,0
188,/articulos/construir-tu-propio-ahumador-casero,(direct),20201116,2,1,1,1,1.0,0,0.0,0
189,/articulos/construir-tu-propio-ahumador-casero,(direct),20201117,2,2,2,2,1.0,2,100.0,0
190,/articulos/construir-tu-propio-ahumador-casero,(direct),20201118,1,1,1,1,1.0,1,100.0,0
191,/articulos/construir-tu-propio-ahumador-casero,(direct),20201119,3,2,2,1,1.0,1,50.0,0
192,/articulos/construir-tu-propio-ahumador-casero,(direct),20201120,4,4,4,3,1.0,4,100.0,0
193,/articulos/construir-tu-propio-ahumador-casero,ar.search.yahoo.com,20201119,2,2,2,2,1.0,2,100.0,0
194,/articulos/construir-tu-propio-ahumador-casero,bing,20201112,1,1,1,1,1.0,1,100.0,0
195,/articulos/construir-tu-propio-ahumador-casero,bing,20201114,1,1,1,1,1.0,1,100.0,0
196,/articulos/construir-tu-propio-ahumador-casero,bing,20201119,1,1,1,0,1.0,1,100.0,0
197,/articulos/construir-tu-propio-ahumador-casero,es.search.yahoo.com,20201116,1,1,1,1,1.0,1,100.0,0
198,/articulos/construir-tu-propio-ahumador-casero,google,20201112,22,19,21,18,0.9047619047619048,18,94.73684210526315,3527
199,/articulos/construir-tu-propio-ahumador-casero,google,20201113,24,18,20,16,0.9,12,66.66666666666666,4742
200,/articulos/construir-tu-propio-ahumador-casero,google,20201114,17,15,16,14,0.9375,13,86.66666666666667,0
201,/articulos/construir-tu-propio-ahumador-casero,google,20201115,35,31,29,27,1.0689655172413792,27,87.09677419354838,25386
202,/articulos/construir-tu-propio-ahumador-casero,google,20201116,30,26,26,20,1.0,19,73.07692307692307,0
203,/articulos/construir-tu-propio-ahumador-casero,google,20201117,25,22,23,17,0.9565217391304348,17,77.27272727272727,0
204,/articulos/construir-tu-propio-ahumador-casero,google,20201118,23,21,22,21,0.9545454545454546,19,90.47619047619048,0
205,/articulos/construir-tu-propio-ahumador-casero,google,20201119,33,30,29,25,1.0344827586206897,25,83.33333333333334,3161
206,/articulos/construir-tu-propio-ahumador-casero,google,20201120,23,20,21,19,0.9523809523809523,17,85.0,0
207,/articulos/construir-tu-propio-ahumador-casero,homify.com.mx,20201114,1,0,1,0,0.0,0,0.0,0
208,/articulos/construir-tu-propio-ahumador-casero,pinterest.com,20201112,1,1,1,1,1.0,1,100.0,0
209,/articulos/control-del-fuego,(direct),20201118,1,1,1,1,1.0,1,100.0,0
210,/articulos/control-del-fuego,google,20201112,8,8,7,5,1.1428571428571428,7,87.5,0
211,/articulos/control-del-fuego,google,20201113,2,2,2,2,1.0,1,50.0,0
212,/articulos/control-del-fuego,google,20201114,12,11,10,8,1.1,10,90.9090909090909,0
213,/articulos/control-del-fuego,google,20201115,9,9,8,7,1.125,9,100.0,0
214,/articulos/control-del-fuego,google,20201116,5,5,5,5,1.0,5,100.0,0
215,/articulos/control-del-fuego,google,20201117,1,1,1,0,1.0,1,100.0,0
216,/articulos/control-del-fuego,google,20201118,4,3,4,1,0.75,3,100.0,0
217,/articulos/control-del-fuego,google,20201119,5,4,4,3,1.0,2,50.0,0
218,/articulos/control-del-fuego,google,20201120,8,7,6,4,1.1666666666666667,5,71.42857142857143,0
219,/articulos/cortes-costillas-de-cerdo,(direct),20201112,1,1,1,1,1.0,1,100.0,0
220,/articulos/cortes-costillas-de-cerdo,(direct),20201113,2,2,2,2,1.0,2,100.0,4206
221,/articulos/cortes-costillas-de-cerdo,(direct),20201115,1,1,1,1,1.0,1,100.0,0
222,/articulos/cortes-costillas-de-cerdo,(direct),20201116,1,1,1,1,1.0,1,100.0,0
223,/articulos/cortes-costillas-de-cerdo,(direct),20201118,1,1,1,1,1.0,0,0.0,0
224,/articulos/cortes-costillas-de-cerdo,google,20201112,17,17,17,17,1.0,17,100.0,0
225,/articulos/cortes-costillas-de-cerdo,google,20201113,20,20,20,18,1.0,19,95.0,0
226,/articulos/cortes-costillas-de-cerdo,google,20201114,9,8,8,8,1.0,6,75.0,0
227,/articulos/cortes-costillas-de-cerdo,google,20201115,12,12,12,12,1.0,12,100.0,0
228,/articulos/cortes-costillas-de-cerdo,google,20201116,24,22,21,16,1.0476190476190477,21,95.45454545454545,9594
229,/articulos/cortes-costillas-de-cerdo,google,20201117,14,13,12,11,1.0833333333333333,11,84.61538461538461,3322
230,/articulos/cortes-costillas-de-cerdo,google,20201118,12,10,11,10,0.9090909090909091,9,90.0,0
231,/articulos/cortes-costillas-de-cerdo,google,20201119,14,13,12,10,1.0833333333333333,12,92.3076923076923,0
232,/articulos/cortes-costillas-de-cerdo,google,20201120,14,14,13,13,1.0769230769230769,14,100.0,0
233,/articulos/cortes-costillas-de-cerdo,m.facebook.com,20201119,1,1,1,1,1.0,1,100.0,0
234,/articulos/costillas-asombrosas,(direct),20201115,2,1,1,0,1.0,0,0.0,0
235,/articulos/costillas-asombrosas,google,20201112,1,0,1,0,0.0,0,0.0,0
236,/articulos/costillas-asombrosas,google,20201113,1,1,1,0,1.0,1,100.0,0
237,/articulos/costillas-asombrosas,google,20201114,1,0,1,0,0.0,0,0.0,0
238,/articulos/costillas-asombrosas,google,20201116,3,0,2,0,0.0,0,0.0,0
239,/articulos/costillas-asombrosas,google,20201117,1,0,1,0,0.0,0,0.0,0
240,/articulos/costillas-asombrosas,google,20201120,1,0,1,0,0.0,0,0.0,0
241,/articulos/costillas-de-primera,google,20201112,1,1,1,1,1.0,0,0.0,0
242,/articulos/costillas-de-primera,google,20201113,1,1,1,1,1.0,1,100.0,0
243,/articulos/costillas-de-primera,google,20201115,1,1,1,0,1.0,1,100.0,0
244,/articulos/costillas-de-primera,google,20201117,3,3,3,3,1.0,3,100.0,0
245,/articulos/costillas-de-primera,google,20201118,1,0,1,0,0.0,0,0.0,0
246,/articulos/costillas-de-primera,google,20201119,2,2,2,2,1.0,2,100.0,0
247,/articulos/costillas-de-primera,google,20201120,5,5,3,1,1.6666666666666667,5,100.0,0
248,/articulos/cuando-envolver-un-brisket,google,20201117,1,0,1,0,0.0,0,0.0,0
249,/articulos/cuando-envolver-un-brisket?fbclid=IwAR0Q30qpD2cg2zpCkMUlIqoP07lBdEaY6qLZ3qECs73xBaPSk1W4VGyjVHw,m.facebook.com,20201117,1,1,1,1,1.0,1,100.0,0
250,/articulos/cuanto-dura-la-carne-ahumada,(direct),20201112,1,1,1,1,1.0,1,100.0,8546
251,/articulos/cuanto-dura-la-carne-ahumada,(direct),20201113,1,1,1,0,1.0,0,0.0,0
252,/articulos/cuanto-dura-la-carne-ahumada,(direct),20201114,4,4,4,3,1.0,4,100.0,0
253,/articulos/cuanto-dura-la-carne-ahumada,(direct),20201115,1,1,1,0,1.0,0,0.0,0
254,/articulos/cuanto-dura-la-carne-ahumada,(direct),20201118,2,2,2,2,1.0,2,100.0,0
255,/articulos/cuanto-dura-la-carne-ahumada,(direct),20201119,2,2,2,2,1.0,1,50.0,0
256,/articulos/cuanto-dura-la-carne-ahumada,(direct),20201120,4,3,2,1,1.5,1,33.33333333333333,0
257,/articulos/cuanto-dura-la-carne-ahumada,google,20201112,5,5,5,4,1.0,5,100.0,0
258,/articulos/cuanto-dura-la-carne-ahumada,google,20201113,13,13,12,12,1.0833333333333333,13,100.0,0
259,/articulos/cuanto-dura-la-carne-ahumada,google,20201114,14,14,14,11,1.0,12,85.71428571428571,0
260,/articulos/cuanto-dura-la-carne-ahumada,google,20201115,17,15,14,12,1.0714285714285714,13,86.66666666666667,4299
261,/articulos/cuanto-dura-la-carne-ahumada,google,20201116,16,14,13,8,1.0769230769230769,11,78.57142857142857,0
262,/articulos/cuanto-dura-la-carne-ahumada,google,20201117,17,15,16,14,0.9375,15,100.0,4075
263,/articulos/cuanto-dura-la-carne-ahumada,google,20201118,20,20,17,15,1.1764705882352942,19,95.0,0
264,/articulos/cuanto-dura-la-carne-ahumada,google,20201119,9,9,8,8,1.125,9,100.0,0
265,/articulos/cuanto-dura-la-carne-ahumada,google,20201120,10,10,10,8,1.0,10,100.0,0
266,/articulos/cuanto-dura-la-carne-ahumada,youtube.com,20201113,1,1,1,1,1.0,1,100.0,0
267,/articulos/el-brisket-lado-graso,(direct),20201118,2,0,1,0,0.0,0,0.0,0
268,/articulos/el-brisket-lado-graso,google,20201112,2,2,2,2,1.0,2,100.0,0
269,/articulos/el-brisket-lado-graso,google,20201113,2,2,2,1,1.0,2,100.0,0
270,/articulos/el-brisket-lado-graso,google,20201114,7,7,7,6,1.0,7,100.0,0
271,/articulos/el-brisket-lado-graso,google,20201115,8,8,8,6,1.0,8,100.0,0
272,/articulos/el-brisket-lado-graso,google,20201116,2,2,2,1,1.0,2,100.0,0
273,/articulos/el-brisket-lado-graso,google,20201117,3,3,2,2,1.5,3,100.0,0
274,/articulos/el-brisket-lado-graso,google,20201118,4,4,4,4,1.0,4,100.0,0
275,/articulos/el-brisket-lado-graso,google,20201119,1,1,1,1,1.0,1,100.0,0
276,/articulos/el-brisket-lado-graso,google,20201120,3,3,3,3,1.0,3,100.0,0
277,/articulos/estilos-regionales-de-asado-estados-unidos,(direct),20201118,2,1,1,1,1.0,0,0.0,0
278,/articulos/estilos-regionales-de-asado-estados-unidos,google,20201112,1,1,1,1,1.0,1,100.0,0
279,/articulos/estilos-regionales-de-asado-estados-unidos,google,20201113,7,6,5,5,1.2,5,83.33333333333334,0
280,/articulos/estilos-regionales-de-asado-estados-unidos,google,20201114,10,4,4,3,1.0,2,50.0,0
281,/articulos/estilos-regionales-de-asado-estados-unidos,google,20201115,4,4,4,3,1.0,4,100.0,0
282,/articulos/estilos-regionales-de-asado-estados-unidos,google,20201116,5,5,5,5,1.0,5,100.0,0
